name,id,artist
August Rush (Soundtrack),spotify:album:6cd4UxYmybXvwg3iZYyZrg,August Rush (Motion Picture Soundtrack) 
The Host: Original Motion Picture Soundtrack,spotify:album:1DAEW4LElx2ESvMbW0YAhv,Antonio Pinto 
The Rocky Horror Picture Show - Original Soundtrack,spotify:album:4QviryaneolcRmDB57SLco,Various Artists 
Friends Soundtrack,spotify:album:2h7MgFQzwQhmFVcjAEQaHi,Friends Soundtrack 
Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,spotify:album:5nzzU118YRlXdhjRMb3fq0,Harry Potter Soundtrack 
Walk The Line - Original Motion Picture Soundtrack,spotify:album:3Upo7OmXY3scC2xdyHgtBa,Original Soundtrack 
Safe Haven Original Motion Picture Soundtrack,spotify:album:4k4USFXbl6VPSEpVTsxh4X,Various Artists 
Top Gun - Motion Picture Soundtrack (Special Expanded Edition),spotify:album:6K8iDZW8jPaoiqSzFFebJA,Various Artists 
Music From The O.C. Mix 1,spotify:album:5m5Blw275J9Q0xrH8jOexW,The O.C. Soundtrack 
The Crow Original Motion Picture Soundtrack,spotify:album:3y7Mwv7UqhABQqsGlzSL6n,The Crow 
Music From The Motion Picture Cadillac Records,spotify:album:4b2zuwf7CPesdiTg1kFDjU,Cadillac Records (Motion Picture Soundtrack)
Forrest Gump - The Soundtrack,spotify:album:3LP0jc2J6fvhpVTKWzvFUk,Original Motion Picture Soundtrack 
Jackass 3D Soundtrack,spotify:album:56KjLrEIFbMdWTFxzmAntB,Various Artists 
Mamma Mia! The Movie Soundtrack,spotify:album:6QtnCAFmqOwR75jOOmU7k9,Cast Of Mamma Mia The Movie 
Halo 3: Original Soundtrack,spotify:album:6x8wiG82nFACtYrIoFQreT,Martin O´Donnell 
Kung Fu Panda,spotify:album:1cpNN7bkoC28hvsxwEFnJx,Soundtrack 
Songs of Anarchy: Music from Sons of Anarchy Seasons 1-4,spotify:album:3M18rHXLz7eFOQXRMJcBk9,Sons of Anarchy (Television Soundtrack) 
Man On The Moon,spotify:album:54RTOyBsiNxbMaNxkc64PV,Man On The Moon Soundtrack 
Abduction - Original Motion Picture Soundtrack,spotify:album:3S139z9iEuFIfa0oa2BdDI,Abduction (Original Motion Picture Soundtrack) 
Mass Effect 3,spotify:album:7fvGyFc1ike0zd2pE7q9lr,EA Games Soundtrack 
Braveheart - Original Motion Picture Soundtrack,spotify:album:5fMzvljNl2AQKFWZL8D117,Choristers of Westminster Abbey & London Symphony Orchestra & James Horner 
High School Musical Original Soundtrack,spotify:album:1gquVtfIDwZKamEZtJL8qe,Various Artists 
The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack,spotify:album:0gjux18fLPZMk1PFqN1dQU,Howard Shore 
Mass Effect: Original Soundtrack,spotify:album:3f4qclJfQLXc1xapUxUEJq,Various Artists 
Mass Effect 3,spotify:album:4AqNrJQ3uSoonTUgvBQHMX,Sam Hulick and EA Games Soundtrack 
The Sound Of Music - 45th Anniversary Edition,spotify:album:6X3aPRdm4Jb6f1KVjKYWVl,Original Motion Picture Soundtrack 
Call of Duty: Black Ops – Zombies Soundtrack,spotify:album:1m3djUz3rQ9rDj0D77QcU7,Treyarch Sound 
Red Dead Redemption Original Soundtrack,spotify:album:22H5XKyHXkxHbty4jtBibg,Various Artists 
Safe Haven Original Motion Picture Soundtrack,spotify:album:6p7BYuiDnvViobTe62L3bC,Various Artists 
